Wahlperiode,Sitzungnr,Abstimmnr,Fraktion/Gruppe,Name,Vorname,Titel,ja,nein,Enthaltung,ungültig,nichtabgegeben,Bezeichnung,Bemerkung,stimme
20,137,1,Fraktionslos,Seidler,Stefan,,0,1,0,0,0,Stefan Seidler,,nein
20,137,1,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben
20,137,2,Fraktionslos,Cotar,Joana,,0,1,0,0,0,Joana Cotar,,nein
20,137,2,Fraktionslos,Farle,Robert,,0,1,0,0,0,Robert Farle,,nein
20,137,2,Fraktionslos,Helferich,Matthias,,0,1,0,0,0,Matthias Helferich,,nein
20,137,2,Fraktionslos,Huber,Johannes,,0,1,0,0,0,Johannes Huber,,nein
20,137,2,Fraktionslos,Seidler,Stefan,,0,0,1,0,0,Stefan Seidler,,Enthaltung
20,137,2,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben
20,138,1,Fraktionslos,Cotar,Joana,,1,0,0,0,0,Joana Cotar,,ja
20,138,1,Fraktionslos,Farle,Robert,,0,0,0,0,1,Robert Farle,,nichtabgegeben
20,138,1,Fraktionslos,Helferich,Matthias,,0,1,0,0,0,Matthias Helferich,,nein
20,138,1,Fraktionslos,Huber,Johannes,,0,0,0,0,1,Johannes Huber,,nichtabgegeben
20,138,1,Fraktionslos,Seidler,Stefan,,0,0,0,0,1,Stefan Seidler,,nichtabgegeben
20,138,1,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben
20,141,1,Fraktionslos,Cotar,Joana,,1,0,0,0,0,Joana Cotar,,ja
